location	count
1:1-100000	25
1:100001-200000	28
1:200001-300000	20
1:300001-400000	27
1:400001-500000	24
1:500001-600000	26
1:600001-700000	35
1:700001-800000	22
1:800001-900000	15
1:900001-1000000	9
1:1000001-1100000	14
1:1100001-1200000	7
1:1200001-1300000	6
1:1300001-1400000	15
1:1400001-1500000	15
1:1500001-1600000	15
1:1600001-1700000	15
1:1700001-1800000	12
1:1800001-1900000	17
1:1900001-2000000	16
1:2000001-2100000	17
1:2100001-2200000	16
1:2200001-2300000	19
1:2300001-2400000	14
1:2400001-2500000	10
1:2500001-2600000	12
1:2600001-2700000	1
1:2700001-2800000	11
1:2800001-2900000	16
1:2900001-3000000	18
1:3000001-3100000	10
1:3100001-3200000	12
1:3200001-3300000	13
1:3300001-3400000	18
1:3400001-3500000	18
1:3500001-3600000	14
1:3600001-3700000	10
1:3700001-3800000	19
1:3800001-3900000	7
1:3900001-4000000	3
1:4000001-4100000	17
1:4100001-4200000	28
1:4200001-4300000	29
1:4300001-4400000	18
1:4400001-4500000	17
1:4500001-4600000	21
1:4600001-4700000	29
1:4700001-4800000	19
1:4800001-4900000	22
1:4900001-5000000	33
1:5000001-5100000	38
1:5100001-5200000	30
1:5200001-5300000	35
1:5300001-5400000	28
1:5400001-5500000	26
1:5500001-5600000	24
1:5600001-5700000	28
1:5700001-5800000	22
1:5800001-5900000	22
1:5900001-6000000	18
1:6000001-6100000	19
1:6100001-6200000	21
1:6200001-6300000	16
1:6300001-6400000	17
1:6400001-6500000	11
1:6500001-6600000	13
1:6600001-6700000	14
1:6700001-6800000	28
1:6800001-6900000	24
1:6900001-7000000	28
1:7000001-7100000	16
1:7100001-7200000	20
1:7200001-7300000	23
1:7300001-7400000	23
1:7400001-7500000	18
1:7500001-7600000	20
1:7600001-7700000	15
1:7700001-7800000	21
1:7800001-7900000	20
1:7900001-8000000	27
1:8000001-8100000	20
1:8100001-8200000	19
1:8200001-8300000	26
1:8300001-8400000	19
1:8400001-8500000	32
1:8500001-8600000	30
1:8600001-8700000	38
1:8700001-8800000	39
1:8800001-8900000	23
1:8900001-9000000	16
1:9000001-9100000	15
1:9100001-9200000	15
1:9200001-9300000	18
1:9300001-9400000	21
1:9400001-9500000	22
1:9500001-9600000	12
1:9600001-9700000	27
1:9700001-9800000	14
1:9800001-9900000	19
1:9900001-10000000	17
1:10000001-10100000	19
1:10100001-10200000	27
1:10200001-10300000	24
1:10300001-10400000	35
1:10400001-10500000	17
1:10500001-10600000	29
1:10600001-10700000	19
1:10700001-10800000	16
1:10800001-10900000	12
1:10900001-11000000	13
1:11000001-11100000	11
1:11100001-11200000	20
1:11200001-11300000	24
1:11300001-11400000	23
1:11400001-11500000	21
1:11500001-11600000	24
1:11600001-11700000	17
1:11700001-11800000	20
1:11800001-11900000	17
1:11900001-12000000	19
1:12000001-12100000	11
1:12100001-12200000	20
1:12200001-12300000	16
1:12300001-12400000	38
1:12400001-12500000	28
1:12500001-12600000	23
1:12600001-12700000	12
1:12700001-12800000	23
1:12800001-12900000	35
1:12900001-13000000	33
1:13000001-13100000	21
1:13100001-13200000	37
1:13200001-13300000	8
1:13300001-13400000	24
1:13400001-13500000	35
1:13500001-13600000	17
1:13600001-13700000	32
1:13700001-13800000	28
1:13800001-13900000	19
1:13900001-14000000	25
1:14000001-14100000	33
1:14100001-14200000	23
1:14200001-14300000	27
1:14300001-14400000	41
1:14400001-14500000	29
1:14500001-14600000	36
1:14600001-14700000	29
1:14700001-14800000	31
1:14800001-14900000	36
1:14900001-15000000	26
1:15000001-15100000	26
1:15100001-15200000	24
1:15200001-15300000	27
1:15300001-15400000	14
1:15400001-15500000	26
1:15500001-15600000	16
1:15600001-15700000	21
1:15700001-15800000	16
1:15800001-15900000	14
1:15900001-16000000	38
1:16000001-16100000	12
1:16100001-16200000	18
1:16200001-16300000	26
1:16300001-16400000	13
1:16400001-16500000	14
1:16500001-16600000	18
1:16600001-16700000	23
1:16700001-16800000	23
1:16800001-16900000	33
1:16900001-17000000	18
1:17000001-17100000	20
1:17100001-17200000	11
1:17200001-17300000	28
1:17300001-17400000	17
1:17400001-17500000	13
1:17500001-17600000	22
1:17600001-17700000	17
1:17700001-17800000	17
1:17800001-17900000	18
1:17900001-18000000	18
1:18000001-18100000	22
1:18100001-18200000	27
1:18200001-18300000	31
1:18300001-18400000	30
